[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3986574401.16788,04/28/2026,9:46 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC936,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQD012,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,TCI245,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,MnF2,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.08,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3986576251.11075,5.00225138664246,39999.59765625,,,6,,,,27.256665491115,,,100,,4.99716377258301,5.0024847984314,39999.59765625,39999.59765625,,,3.29429054260254,,1,0,0,0,0.0138092041015625,27.3704795837402,1,1,1,5.00230026245117,0,5.0000808605781,,,0.102134657604081,0.00307808964442362,0.107936868127361,0.00308547731373825,0.682987570762634,0.985915005207062,26.0438995361328,0,30,4,200,-0.00318158348090947,-4.67563915252686,0.814975917339325,3,,,,,,,,,,,,,,,,
,3986576324.14962,5.00224661827087,41999.7421875,,,6,,,,27.256665491115,,,100,,4.99654531478882,5.00314140319824,41999.7421875,41999.7421875,,,3.29435729980469,,1,0,0,0,0.0138092041015625,27.3704795837402,1,1,1,5.00206327438354,0,5.00023405640214,,,0.107903306502552,0.00325175430792153,0.11402590961155,0.00325953627976379,0.68315064907074,0.985926508903503,26.0445213317871,0.000283367349766195,30,4,200,-0.00310122035443783,-4.93228101730347,0.861124336719513,3,,,,,,,,,,,,,,,,
,3986576402.28881,5.00219011306763,43999.56640625,,,6,,,,27.256665491115,,,1000,,4.99722957611084,5.00281429290771,43999.56640625,43999.56640625,,,3.298499584198,,1,0,0,0,0.0145721435546875,27.3704795837402,1,1,1,5.00218152999878,0,5.00015350069318,,,0.11385591996964,0.00343091509522382,0.120306320676294,0.00343907032436441,0.683338165283203,0.985880851745606,26.0452632904053,0.000282507971860468,30,4,200,-0.000332010473357514,-4.9059271812439,4.8563666343689,3,,,,,,,,,,,,,,,,
,3986576480.66511,5.00193667411804,45999.6171875,,,6,,,,27.256665491115,,,1000,,4.99710083007812,5.00254678726196,45999.6171875,45999.6171875,,,3.29802203178406,,1,0,0,0,0.0138092041015625,26.881721496582,1,1,1,5.00181150436401,0,5.00005949460543,,,0.119818842356288,0.00361047143064136,0.126603960103199,0.00361909122281402,0.683438241481781,0.985897123813629,26.045690536499,0,30,4,200,-0.000263239722698927,-0.548598885536194,0.0953131839632988,3,,,,,,,,,,,,,,,,
,3986576554.19713,5.00228524208069,47999.5546875,,,6,,,,27.256665491115,,,1000,,4.99698257446289,5.00257539749146,47999.5546875,47999.5546875,,,3.29868006706238,,1,0,0,0,0.0138092041015625,27.3704795837402,1,1,1,5.00250291824341,0,5.00003891724807,,,0.125887760197304,0.00379316202409387,0.133009123356851,0.00380219093450313,0.683576285839081,0.98588627576828,26.0462055206299,,30,4,200,-0.000270753283984959,-0.575994789600372,0.100128620862961,3,,,,,,,,,,,,,,,,
,3986576627.68369,5.00234389305115,49999.71875,,,6,,,,27.256665491115,,,1000,,4.99709129333496,5.00261163711548,49999.71875,49999.71875,,,3.29961252212524,,1,0,0,0,0.0145721435546875,27.3704795837402,1,1,1,5.0022087097168,0,4.99998584160438,,,0.132065433216505,0.00397906056453453,0.139527432714977,0.00398852282813245,0.683749079704285,0.985868513584137,26.0469131469727,0,30,4,200,-0.000284635170828551,-0.604413986206055,0.105380266904831,3,,,,,,,,,,,,,,,,
,3986576701.80848,5.00208425521851,51999.83203125,,,6,,,,27.256665491115,,,1000,,4.99711942672729,5.00251722335815,51999.83203125,51999.83203125,,,3.29919290542603,,1,0,0,0,0.0138092041015625,27.3704795837402,1,1,1,5.00173997879028,0,5.00009596789325,,,0.138345774877123,0.00416813313041258,0.146156929168703,0.00417803233751288,0.68385237455368,0.98589164018631,26.0473327636719,0,30,4,200,-0.000256283994531259,-0.632329106330872,0.109996616840363,3,,,,,,,,,,,,,,,,
,3986576775.68688,5.00220274925232,53999.51171875,,,6,,,,27.256665491115,,,1000,,4.99715757369995,5.00261545181274,53999.51171875,53999.51171875,,,3.30079364776611,,1,0,0,0,0.0138092041015625,27.3704795837402,1,1,1,5.00201320648193,0,5.00025059626653,,,0.144743243750004,0.00436066668452208,0.152908760446622,0.00437104125914819,0.683991074562073,0.985877811908722,26.0478706359863,0.000279129511909559,30,4,200,-0.000240377659793012,-0.661922454833984,0.115455806255341,3,,,,,,,,,,,,,,,,
,3986576849.72166,5.0016622543335,55999.80078125,,,6,,,,27.256665491115,,,1000,,4.99713802337646,5.00250673294067,55999.80078125,55999.80078125,,,3.30115866661072,,1,0,0,0,0.0138092041015625,27.3704795837402,1,1,1,5.00168323516846,0,4.99994151408856,,,0.151351681967437,0.00455918237231567,0.159867117315984,0.00456995490629896,0.684351921081543,0.985856235027313,26.0493144989014,0.000277090410236269,30,4,200,-0.000226619915338233,-0.692058861255646,0.120016060769558,3,,,,,,,,,,,,,,,,
,3986576923.37326,5.00196647644043,57999.5703125,,,6,,,,27.256665491115,,,1000,,4.99692487716675,5.00286960601807,57999.5703125,57999.5703125,,,3.30243325233459,,1,0,0,0,0.0138092041015625,27.8592376708984,1,1,1,5.00206708908081,0,5.00007383346558,,,0.158034201358461,0.00476007218617591,0.166911044867643,0.00477131406557278,0.684597432613373,0.985846519470215,26.0502758026123,0,30,4,200,-0.000237627813476138,-0.721481502056122,0.126040384173393,3,,,,,,,,,,,,,,,,
,3986576996.47505,5.00246548652649,59999.609375,,,6,,,,27.256665491115,,,1000,,4.99619960784912,5.0027904510498,59999.609375,59999.609375,,,3.30219888687134,,1,0,0,0,0.0138092041015625,27.8592376708984,1,1,1,5.00254344940186,0,5.00004814221309,,,0.164793858376978,0.00496343807364407,0.174042312053555,0.00497516580386491,0.684733092784882,0.985843002796173,26.0508270263672,0,30,4,200,-0.000194525593542494,-0.752813041210175,0.131320953369141,3,,,,,,,,,,,,,,,,
,3986577069.76244,5.00222444534302,61999.58984375,,,6,,,,27.256665491115,,,1000,,4.99718141555786,5.00270891189575,61999.58984375,61999.58984375,,,3.30048060417175,,1,0,0,0,0.0138092041015625,29.8142719268799,1,1,1,5.00200033187866,0,5.00021752944359,,,0.171680933456388,0.00517062045856612,0.181305799995575,0.0051828007367045,0.684871435165405,0.985833346843719,26.0513935089111,0.000274533464107662,30,4,200,-0.000182283954927698,-0.784367620944977,0.136951610445976,3,,,,,,,,,,,,,,,,
,3986577143.40439,5.00223159790039,63999.6484375,,,6,,,,27.256665491115,,,1000,,4.99693298339844,5.00306177139282,63999.6484375,63999.6484375,,,3.30421781539917,,1,0,0,0,0.0145721435546875,27.3704795837402,1,1,1,5.0026388168335,0,5.00018316048842,,,0.178697263328035,0.00538164348730521,0.18870298911277,0.00539425738297737,0.685026824474335,0.985826849937439,26.0519485473633,5.10411071777344,30,4,200,-0.000163685224833898,-0.81636917591095,0.142382070422173,3,,,,,,,,,,,,,,,,
,3986577217.01136,5.00197744369507,65999.7265625,,,6,,,,27.256665491115,,,1000,,4.99699687957764,5.00348949432373,65999.7265625,65999.7265625,,,3.30383849143982,,1,0,0,0,0.0138092041015625,27.3704795837402,1,1,1,5.00166416168213,0,5.00006215388958,,,0.185836184839426,0.00559637273886079,0.196233976346436,0.00560954318525658,0.685164749622345,0.985804259777069,26.0525588989258,,30,4,200,-0.000173380292835645,-0.84886908531189,0.148201733827591,3,,,,,,,,,,,,,,,,
,3986577291.10008,5.00214409828186,67999.6484375,,,6,,,,27.256665491115,,,1000,,4.99685621261597,5.00265741348267,67999.6484375,67999.6484375,,,3.30523920059204,,1,0,0,0,0.0145721435546875,28.3479976654053,1,1,1,5.00224542617798,0,5.00009815509503,,,0.193115857815253,0.00581526486115419,0.203906630882074,0.00582887074932836,0.685326635837555,0.985802292823791,26.053165435791,0.000272271397989243,30,4,200,-0.00015210299170576,-0.881665647029877,0.153797924518585,3,,,,,,,,,,,,,,,,
,3986577364.28092,5.00237965583801,69999.765625,,,6,,,,27.256665491115,,,1000,,4.99657917022705,5.00259637832642,69999.765625,69999.765625,,,3.30506873130798,,1,0,0,0,0.0145721435546875,27.3704795837402,1,1,1,5.00282764434814,0,4.99997953268198,,,0.200528837911136,0.00603810016531634,0.211721259849467,0.00605226277593538,0.685512363910675,0.985777020454407,26.0539417266846,0,30,4,200,-0.000137619150336832,-0.915589034557343,0.159867435693741,3,,,,,,,,,,,,,,,,
